A,P,length of kernel,width of kernel,asymmetry coefficient,length of kernel groove,Column8
19.60018326935288,15.82515719008267,6.002846900579881,3.8302624966690253,2.8495017021317617,5.914183500633326,2
18.49986069550682,15.819776682678791,6.151380512094687,3.787151432978722,3.0089295423285494,5.991247969215345,2
18.878944797188517,15.82982497596854,5.991546861178771,3.848953347953463,3.1131422627295158,5.916754684026751,2
19.407293165877714,15.793698694386782,6.003490935983537,3.8406713027762316,2.9128310243059206,5.926607902771956,2
19.1054961684058,15.78927204169098,6.179211242787967,3.7459137153569197,2.9499555479075616,5.975312786105285,2
18.95544234295592,15.870031658248315,5.983303059192942,3.8497443609679745,2.904364134705436,5.902936318293169,2
19.63857403144637,15.825809012853473,5.998780027528558,3.8396729521571964,2.9142332047176267,5.907439454592449,2
19.23426543056532,15.981501599081158,5.993082799905156,3.8413707241752677,2.9128974663088574,5.942371140278727,2
18.995708328405286,16.08227070070006,6.14525849740284,3.8306051912417214,3.2887378022026996,6.0999704113910775,2
18.562661863661912,15.887902994142092,5.995713808006767,3.850149205558064,3.2940847859264797,5.969984650664099,2
18.940337699831097,15.825188578017059,5.989531023205166,3.8474061914716384,2.952283196436678,5.909308279035239,2
18.771330348598028,15.819054483235494,6.055121297043656,3.8475219274089283,3.422074775523809,5.983172272907263,2
19.67180622989816,15.837704486081982,6.0253419075324075,3.8444012386332727,3.253832005813885,5.931053226112438,2
19.46606091183376,15.877406376522828,5.993580164328889,3.837697651111109,2.7610791597249307,5.917610740509319,2
19.68396347790742,15.810678582171441,6.008767370785054,3.792722850832594,2.778993448615142,5.911171130385602,2
18.349247150263498,15.937056899436758,5.9825426220381095,3.841657219371085,2.7746123428171163,5.8915709344818,2
19.261596969774835,15.808445022914855,5.999342731929372,3.840897135614784,2.8818246110402868,5.9134259179772615,2
19.550287388110057,15.897148340988705,6.005202481163149,3.848555197833951,3.223136526599154,5.942249006978328,2
19.286967887801577,15.861764722552566,5.986094890121682,3.848081840463893,2.8838596969138486,5.901349736167243,2
19.39154972917781,15.846137531650111,5.988499651181898,3.8478317627859497,2.9670461011897773,5.908194708290459,2
19.6629854775859,15.849531798256894,6.012994364686958,3.836549368475345,2.9743781759029426,5.9730649442885335,2
